"","province","n","pop","per_100k"
"1","SD",105,888446.601941748,11.8183805048629
"2","KY",332,4475972.22222222,7.417382939771
"3","NM",149,2098802.81690141,7.0992853068483
"4","WY",41,579059.829059829,7.08044280442804
"5","VT",43,623545.454545455,6.89604898673276
"6","ND",50,766865.671641791,6.52004671078241
"7","IN",379,6730080.64516129,5.631433261836
"8","ID",99,1795800,5.51286334781156
"9","MO",334,6133939.39393939,5.44511411915819
"10","IA",166,3168085.10638298,5.23975822699798
"11","OK",208,3969863.94557823,5.23947427043885
"12","WV",93,1793925.92592593,5.18416054174581
"13","LA",237,4634580.64516129,5.11373127679715
"14","AR",151,3011746.98795181,5.01370137013701
"15","UT",159,3203153.15315315,4.96385881029391
"16","AL",236,4895962.73291925,4.82029812876625
"17","NE",92,1928034.18803419,4.77169961876053
"18","OH",543,11720530.3030303,4.63289617415698
"19","SC",238,5144722.22222222,4.62610010258625
"20","NV",135,3085702.47933884,4.37501673942738
"21","VA",327,8506595.74468085,3.84407593606963
"22","TN",245,6805187.96992481,3.60019445579998
"23","KS",103,2901570.24793388,3.54980204505967
"24","NC",358,10499555.5555556,3.40966813410091
"25","DE",32,975982.905982906,3.2787459497329
"26","ME",44,1346048.38709677,3.26882751183272
"27","GA",347,10660916.6666667,3.25487958352549
"28","WI",186,5829670.32967033,3.19057492931197
"29","DC",21,704800,2.97956867196368
"30","IL",363,12618854.1666667,2.87664787313956
"31","AZ",208,7293174.6031746,2.85198163100964
"32","HI",40,1410608.69565217,2.83565528294908
"33","MS",82,2974972.97297297,2.75632756145866
"34","WA",209,7596634.61538462,2.75121827732422
"35","CO",158,5780000,2.73356401384083
"36","OR",114,4227826.08695652,2.69642122583299
"37","CT",96,3573333.33333333,2.6865671641791
"38","NH",36,1363522.72727273,2.64022001833486
"39","MN",148,5612597.4025974,2.63692528403175
"40","MD",159,6039433.96226415,2.63269705395358
"41","MI",251,9992461.53846154,2.51189358131515
"42","MT",25,1068076.92307692,2.34065538350738
"43","RI",24,1064210.52631579,2.25519287833828
"44","PA",283,12771037.7358491,2.21595148220103
"45","FL",471,21394166.6666667,2.20153468624625
"46","TX",634,29027304.964539,2.18415040863946
"47","AK",14,730840.336134454,1.91560308152236
"48","MA",131,6913780.48780488,1.89476654966222
"49","CA",676,39332941.1764706,1.71866120300302
"50","NJ",151,8866627.90697674,1.7030149633457
"51","NY",269,19537850.4672897,1.37681471383129
