"","state","income"
"1","Alabama",51700
"2","Alaska",75500
"3","Arizona",62100
"4","Arkansas",49000
"5","California",80400
"6","Colorado",77100
"7","Connecticut",78800
"8","Delaware",70200
"9","District of Columbia",92300
"10","Florida",59200
"11","Georgia",62000
"12","Hawaii",83100
"13","Idaho",61000
"14","Illinois",69200
"15","Indiana",57600
"16","Iowa",61700
"17","Kansas",62100
"18","Kentucky",52300
"19","Louisiana",51100
"20","Maine",58900
"21","Maryland",86700
"22","Massachusetts",85800
"23","Michigan",59600
"24","Minnesota",74600
"25","Mississippi",45800
"26","Missouri",57400
"27","Montana",57200
"28","Nebraska",63200
"29","Nevada",63300
"30","New Hampshire",77900
"31","New Jersey",85800
"32","New Mexico",51900
"33","New York",72100
"34","North Carolina",57300
"35","North Dakota",64600
"36","Ohio",58600
"37","Oklahoma",54400
"38","Oregon",67100
"39","Pennsylvania",63500
"40","Rhode Island",71200
"41","South Carolina",56200
"42","South Dakota",59500
"43","Tennessee",56100
"44","Texas",64000
"45","Utah",75800
"46","Vermont",63000
"47","Virginia",76500
"48","Washington",78700
"49","West Virginia",48900
"50","Wisconsin",64200
"51","Wyoming",65000
